,Country,State,City,Station,Last_Update,Latitude,Longitude,Pollutant_Id,Pollutant_Min,Pollutant_Max,Pollutant_Avg
0,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",03-04-2025 09:00,26.446912,91.439057,NH3,1.0,2.0,2.0
1,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",03-04-2025 09:00,26.446912,91.439057,CO,10.0,34.0,34.0
2,India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",03-04-2025 09:00,25.0328,85.41948,PM2.5,60.0,78.0,48.0
3,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",03-04-2025 09:00,26.1403345,85.3650192,PM10,52.0,500.0,104.0
4,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",03-04-2025 09:00,25.592539,85.227158,NO2,11.0,12.0,10.0
5,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",03-04-2025 09:00,25.592539,85.227158,NH3,1.0,2.0,2.0
6,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",03-04-2025 09:00,25.592539,85.227158,SO2,1.0,12.0,9.0
7,India,Chhattisgarh,Korba,"Rampur, Korba - CECB",03-04-2025 09:00,22.368195,82.746431,PM2.5,60.0,78.0,48.0
8,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",03-04-2025 09:00,22.06631475,83.33820077,NO2,11.0,12.0,10.0
9,India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",03-04-2025 09:00,21.219665,81.630094,PM2.5,60.0,78.0,48.0
10,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",03-04-2025 09:00,28.7256504,77.2011573,OZONE,1.0,65.0,15.0
11,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",03-04-2025 09:00,28.4706914,77.1099364,PM2.5,60.0,78.0,48.0
12,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",03-04-2025 09:00,28.5512005,77.2735737,PM2.5,60.0,78.0,48.0
13,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",03-04-2025 09:00,28.656756,77.227234,PM2.5,60.0,78.0,48.0
14,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",03-04-2025 09:00,28.5918245,77.2273074,NO2,11.0,12.0,10.0
15,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",03-04-2025 09:00,28.5918245,77.2273074,OZONE,1.0,65.0,15.0
16,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",03-04-2025 09:00,28.6573814,77.1585447,PM2.5,60.0,78.0,48.0
17,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",03-04-2025 09:00,28.656756,77.227234,PM10,52.0,500.0,104.0
18,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",03-04-2025 09:00,28.5627763,77.1180053,NO2,11.0,12.0,10.0
19,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",03-04-2025 09:00,28.422681,77.148944,CO,10.0,34.0,34.0
20,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",03-04-2025 09:00,28.422681,77.148944,OZONE,1.0,65.0,15.0
21,India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",03-04-2025 09:00,22.678,75.8559,PM2.5,60.0,78.0,48.0
22,India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",03-04-2025 09:00,19.0863,72.8888,PM2.5,60.0,78.0,48.0
23,India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",03-04-2025 09:00,19.0863,72.8888,NO2,11.0,12.0,10.0
24,India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",03-04-2025 09:00,19.0863,72.8888,NH3,1.0,2.0,2.0
25,India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",03-04-2025 09:00,19.0863,72.8888,SO2,1.0,12.0,9.0
26,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-04-2025 09:00,19.19709,72.82204,NO2,11.0,12.0,10.0
27,India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",03-04-2025 09:00,19.175,72.9419,SO2,1.0,12.0,9.0
28,India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",03-04-2025 09:00,19.000084,72.85673,NO2,11.0,12.0,10.0
29,India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB",03-04-2025 09:00,21.847279,85.416905,PM10,52.0,500.0,104.0
30,India,Odisha,Barbil,"Forest Office, Barbil - OSPCB",03-04-2025 09:00,22.1166054,85.3945546,PM2.5,60.0,78.0,48.0
31,India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",03-04-2025 09:00,25.435774,75.644272,SO2,1.0,12.0,9.0
32,India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",03-04-2025 09:00,21.869985,85.167016,NO2,11.0,12.0,10.0
